raio bico;ajustar;
bico injeção;irregular;
temperatura injeção;alta;
pressao injeção;alta;
tempo pressao injeção;baixo;
curso descompressao;baixo;
pressao recalque;baixa;
orificio bico;grande;
temperatura bico;variando;
temperatura rosca canhão;alta;
cilindro;contaminantes;
tempo resfriamento;baixo;
temperatura cilindro;alta;
pressao injecao;alta;
temperatura molde;baixa;
viscosidade;baixa;
tempo recalque;alto;
pressão recalque;alta;
dosagem;ajustar?escalonar velocidade dosagem?;
temperatura molde;alta;
força fechamento molde;ajustar?;
fechamento molde;resíduos resinas;
temperatura polímero;alta;
velocidade injeção;alta;
força fechamento;baixa;
pressão injeção;alta;
temperatura cilindro;alta;
alimentacao;ajustar;
dosajem;ajustar;
pressão recalque;baixa;
tempo recalque;baixo;
velocidade injeção;baixa;
temperatura cilindro;baixa;
temperatura bico injeção;baixa;
recuo bico injeção;recuar a cada injeção;
temperatura molde;baixa;
umidade;alta;
temperatura bico injeção;baixa;
temperatura molde;alta;
pressao injeção;alta;
velocidade dosagem;alta;
temperatura cilindro;alta;
velocidade injeção;alta;
pressão injeção;alta;
temperatura cilindro;ajustar?;
temperatura bico injeção;baixa;
pressão recalque;baixo;
tempo recalque;baixo;
temperatura molde;alta;
temperatura bico injeção;baixo;
tempo injeção;baixo;
contrapressão;baixa;
carga material canhão;baixa;
velocidade injeção;baixa;
temperatura molde;baixa;
pressão injeção;baixa;
temperatura ciclindro;baixa;
temperatura bico;baixa;
pressão recalque;ajustar?;
tempo recalque;ajustar?;
tempo resfriamento;baixo;
temperatura molde;alta;
temperatura cilindro;alta;
temperatura massa;alta;
pressão recalque;alta;
tempo recalque;baixo;
temperatura materia-prima;baixa;
pressao recalque;baixa;
tempo recalque;baixo;
tempo injecao;baixo;
tempo resfriamento;baixo;
temperatura molde;ajustar;baixa?
temperatura cilindro;baixa;
temperatura bico;baixa;
temperatura molde;baixa;
temperatura polimero;baixa;
pressão injeção;baixa;
tempo recalque;baixo;
velocidade injeção;baixa;
contrapressão;baixa;
pressão injeção;baixa;
velocidade dosajem;alta;
tempo ciclo;baixo;
velocidade inicial injeção;alta;
temperatura polimero;baixa;
ponto injeção restrito;ajustar?;
pressão injeção;alta;
volume injeção;alto;
pressão recalque;alta;
tempo resfriamento;baixo;
dimensão canal injeção (runner);baixo;
temperatura massa;baixa;
temperatura molde;baixa;
pressão recalque;baixa;
velocidade injeção;baixa;
rotação rosca;ajustar?;
velocidade injeção;alta;
curso descompressão;alto;
temperatura cilindro;alta;
temperatura cilindro;alta;
temperatura bico;alta;
pressão recalque;alta;
tempo injeção;alto;
pressão injeção;alta;
velocidade injeção;alta;
temperatura molde;baixa;
pressao recalque;baixo;
tempo recalque;baixo;
ponto de contracao próximo ao canal de injeção;;
temperatura molde;alta;
temperatura massa;alta;
ponto de contração distante do ponto de injeção;;
temperatura molde;baixo;
temperatura massa;baixo;
